"Samples_ID","number","Collection_month","Year_collection","Collection_date","Block_ID","Lake_ID","filter_pore_size","Bological_Replicates","UTC","Hour_Collection_start","Hour_Collection_end","L_F","L_M","L_SC","L_SL","L_tot_filtered","Treatment","Sampling_type","Pompe","expe","Comments_field","Transfer_date","Extraction_date","Sample_ID","Sample_Type","type","control_type","Sample","Replicate"
"T3_0.45_blue_March22",16,"March",2022,"23.03.2022","B2","L5","0.45","blue","summer","20:30:00","21:45:00",NA,NA,NA,NA,"7,5","P","Daily","triple","JG_GL","test_water collection",NA,NA,"202_rep2","sample","sample",NA,"202",2
"T3_0.45_orange_March22",17,"March",2022,"23.03.2022","B2","L5","0.45","orange ","summer","20:30:00","21:45:00",NA,NA,NA,NA,"7,6","P","Daily","triple","JG_GL","test_water collection",NA,NA,"203_rep1","sample","sample",NA,"203",1
"T4_0.45_blue_March22",22,"March",2022,"24.03.2022","B2","L5","0.45","blue","summer","00:30:00","01:45:00",NA,NA,NA,NA,"7,2","P","Daily","triple","JG_GL","test_water collection",NA,NA,"205_rep1","sample","sample",NA,"205",1
"T4_0.45_orange_March22",23,"March",2022,"24.03.2022","B2","L5","0.45","orange ","summer","00:30:00","01:45:00",NA,NA,NA,NA,"6,4","P","Daily","triple","JG_GL","test_water collection",NA,NA,"206_rep1","sample","sample",NA,"206",1
"T4_0.45_red_March22",24,"March",2022,"24.03.2022","B2","L5","0.45","red","summer","00:30:00","01:45:00",NA,NA,NA,NA,"6,8","P","Daily","triple","JG_GL","test_water collection",NA,NA,"207_rep1","sample","sample",NA,"207",1
"T5_0.45_blue_March22",28,"March",2022,"24.03.2022","B2","L5","0.45","blue","summer","04:30:00","05:45:00",NA,NA,NA,NA,"7,6","P","Daily","triple","JG_GL","test_water collection",NA,NA,"208_rep3","sample","sample",NA,"208",3
"T5_0.45_orange_March22",29,"March",2022,"24.03.2022","B2","L5","0.45","orange ","summer","04:30:00","05:45:00",NA,NA,NA,NA,"7,6","P","Daily","triple","JG_GL","test_water collection",NA,NA,"209_rep1","sample","sample",NA,"209",1
"T5_0.45_red_March22",30,"March",2022,"24.03.2022","B2","L5","0.45","red","summer","04:30:00","05:45:00",NA,NA,NA,NA,"6,7","P","Daily","triple","JG_GL","test_water collection",NA,NA,"210_rep1","sample","sample",NA,"210",1
"T6_0.45_blue_March22",34,"March",2022,"24.03.2022","B2","L5","0.45","blue","summer","08:30:00","09:45:00",NA,NA,NA,NA,"7,1","P","Daily","triple","JG_GL","test_water collection",NA,NA,"211_rep1","sample","sample",NA,"211",1
"T6_0.45_orange_March22",35,"March",2022,"24.03.2022","B2","L5","0.45","orange ","summer","08:30:00","09:45:00",NA,NA,NA,NA,"7","P","Daily","triple","JG_GL","test_water collection",NA,NA,"212_rep3","sample","sample",NA,"212",3
"T6_0.45_red_March22",36,"March",2022,"24.03.2022","B2","L5","0.45","red","summer","08:30:00","09:45:00",NA,NA,NA,NA,"7,3","P","Daily","triple","JG_GL","test_water collection",NA,NA,"213_rep1","sample","sample",NA,"213",1
"T1_0.45_blue_June22",101,"June",2022,"21.06.2022","B2","L5","0.45","blue","summer","10:00:00","10:20:00","1","1","1","1","4","P","Daily","triple","JG_BD","",NA,NA,"215_rep3","sample","sample",NA,"215",3
"T1_0.45_orange_June22",102,"June",2022,"21.06.2022","B2","L5","0.1","orange ","summer","10:00:00","10:20:00","1","1","1","1","4","P","Daily","triple","JG_BD","",NA,NA,"216_rep1","sample","sample",NA,"216",1
"T1_0.45_red_June22",103,"June",2022,"21.06.2022","B2","L5","0.45","red","summer","10:00:00","10:20:00","1","1","1","1","4","P","Daily","triple","JG_BD","",NA,NA,"217_rep3","sample","sample",NA,"217",3
"T2_0.45_orange_June22",108,"June",2022,"21.06.2022","B2","L5","0.1","orange ","summer","13:56:00","14:15:00","1","1","1","1","4","P","Daily","triple","JG_BD","",NA,NA,"219_rep2","sample","sample",NA,"219",2
"T2_0.45_red_June22",109,"June",2022,"21.06.2022","B2","L5","0.45","red","summer","13:56:00","14:15:00","1","1","1","1","4","P","Daily","triple","JG_BD","",NA,NA,"220_rep2","sample","sample",NA,"220",2
"T3_0.45_orange_June22",114,"June",2022,"21.06.2022","B2","L5","0.1","orange ","summer","17:56:00","18:14:00","1","1","1","1","4","P","Daily","triple","JG_BD","",NA,NA,"222_rep2","sample","sample",NA,"222",2
"T3_0.45_red_June22",115,"June",2022,"21.06.2022","B2","L5","0.45","red","summer","17:56:00","18:14:00","1","1","1","1","4","P","Daily","triple","JG_BD","",NA,NA,"223_rep1","sample","sample",NA,"223",1
"T4_0.45_blue_June22",119,"June",2022,"21.06.2022","B2","L5","0.45","blue","summer","21:56:00","22:15:00","1","1","1","1","4","P","Daily","triple","JG_BD","",NA,NA,"224_rep2","sample","sample",NA,"224",2
"T4_0.45_orange_June22",120,"June",2022,"21.06.2022","B2","L5","0.1","orange ","summer","21:56:00","22:15:00","1","1","1","1","4","P","Daily","triple","JG_BD","",NA,NA,"225_rep1","sample","sample",NA,"225",1
"T4_0.45_red_June22",121,"June",2022,"21.06.2022","B2","L5","0.45","red","summer","21:56:00","22:15:00","1","1","1","1","4","P","Daily","triple","JG_BD","",NA,NA,"226_rep2","sample","sample",NA,"226",2
"T5_0.45_blue_June22",125,"June",2022,"22.06.2022","B2","L5","0.45","blue","summer","01:52:00","02:17:00","1","1","1","1","4","P","Daily","triple","JG_BD","",NA,NA,"227_rep2","sample","sample",NA,"227",2
"T5_0.45_orange_June22",126,"June",2022,"22.06.2022","B2","L5","0.1","orange ","summer","01:52:00","02:17:00","1","1","1","1","4","P","Daily","triple","JG_BD","",NA,NA,"228_rep2","sample","sample",NA,"228",2
"T5_0.45_red_June22",127,"June",2022,"22.06.2022","B2","L5","0.45","red","summer","01:52:00","02:17:00","1","1","1","1","4","P","Daily","triple","JG_BD","",NA,NA,"229_rep1","sample","sample",NA,"229",1
"T6_0.45_blue_June22",131,"June",2022,"22.06.2022","B2","L5","0.45","blue","summer","05:53:00","06:15:00","1","1","1","1","4","P","Daily","triple","JG_BD","",NA,NA,"230_rep3","sample","sample",NA,"230",3
"T6_0.45_orange_June22",132,"June",2022,"22.06.2022","B2","L5","0.1","orange ","summer","05:53:00","06:15:00","1","1","1","1","4","P","Daily","triple","JG_BD","",NA,NA,"231_rep2","sample","sample",NA,"231",2
"T6_0.45_red_June22",133,"June",2022,"22.06.2022","B2","L5","0.45","red","summer","05:53:00","06:15:00","1","1","1","1","4","P","Daily","triple","JG_BD","",NA,NA,"232_rep3","sample","sample",NA,"232",3
