"Samples_ID","number","Collection_month","Year_collection","Collection_date","Block_ID","Lake_ID","filter_pore_size","Bological_Replicates","UTC","Hour_Collection_start","Hour_Collection_end","L_F","L_M","L_SC","L_SL","L_tot_filtered","Treatment","Sampling_type","Pompe","expe","Comments_field","Transfer_date","Extraction_date","Sample_ID","Sample_Type","type","control_type","Sample","Replicate"
"L10_0.45_Aug22",221,"August",2022,"18.08.2022","B3","L10","0.45",NA,"summer","14:33:00","14:47:00","1","1","1","0,95","3,95","P","Monthly","two",NA,"",NA,NA,"73_rep1","sample","sample",NA,"73",1
"L11_0.45_Aug22",223,"August",2022,"18.08.2022","B3","L11","0.45",NA,"summer","14:25:00","15:00:00","1","1","0,8","0,68","3,48","N","Monthly","one",NA,"",NA,NA,"74_rep2","sample","sample",NA,"74",2
"L12_0.45_Aug22",225,"August",2022,"18.08.2022","B3","L12","0.45",NA,"summer","14:52:00","15:21:00","1","1","0,7","0,7","3,4","none","Monthly","four",NA,"",NA,NA,"75_rep2","sample","sample",NA,"75",2
"L1_0.45_Sept22",265,"September",2022,"22.09.2022","B1","L1","0.45",NA,"summer","13:25:00","13:47:00","1","1","1","1","4","N","Monthly","four",NA,"",NA,NA,"76_rep1","sample","sample",NA,"76",1
"L2_0.45_Sept22",267,"September",2022,"22.09.2022","B1","L2","0.45",NA,"summer","13:25:00","13:49:00","1","1","1","0,9","3,9","none","Monthly","two",NA,"",NA,NA,"77_rep2","sample","sample",NA,"77",2
"L3_0.45_Sept22",269,"September",2022,"22.09.2022","B1","L3","0.45",NA,"summer","13:25:00","13:57:00","1","1","1","0,9","3,9","NP","Monthly","one",NA,"",NA,NA,"78_rep3","sample","sample",NA,"78",3
"L4_0.45_Sept22",271,"September",2022,"22.09.2022","B1","L4","0.45",NA,"summer","13:30:00","13:38:00","1","1","1","1","4","P","Monthly","three",NA,"",NA,NA,"79_rep3","sample","sample",NA,"79",3
"L5_0.45_Sept22",273,"September",2022,"22.09.2022","B2","L5","0.45",NA,"summer","14:02:00","14:41:00","1","0,65","0,4","0,4","2,45","P","Monthly","four","BD","eau verte ",NA,NA,"80_rep2","sample","sample",NA,"80",2
"L6_0.45_Sept22",275,"September",2022,"22.09.2022","B2","L6","0.45",NA,"summer","14:08:00","14:16:00","1","1","1","1","4","NP","Monthly","two",NA,"",NA,NA,"81_rep3","sample","sample",NA,"81",3
"L7_0.45_Sept22",277,"September",2022,"22.09.2022","B2","L7","0.45",NA,"summer","14:10:00","14:30:00","1","1","1","1","4","none","Monthly","one",NA,"",NA,NA,"82_rep1","sample","sample",NA,"82",1
"L8_0.45_Sept22",279,"September",2022,"22.09.2022","B2","L8","0.45",NA,"summer","13:47:00","14:02:00","1","1","1","1","4","N","Monthly","three",NA,"",NA,NA,"83_rep1","sample","sample",NA,"83",1
"L9_0.45_Sept22",281,"September",2022,"22.09.2022","B3","L9","0.45",NA,"summer","14:59:00","15:29:00","1","1","1","0,65","3,65","NP","Monthly","four",NA,"",NA,NA,"84_rep3","sample","sample",NA,"84",3
"L10_0.45_Sept22",283,"September",2022,"22.09.2022","B3","L10","0.45",NA,"summer","14:45:00","15:00:00","1","1","1","1","4","P","Monthly","two",NA,"",NA,NA,"85_rep2","sample","sample",NA,"85",2
"L11_0.45B_Sept22",285,"September",2022,"22.09.2022","B3","L11","0.45","blue","summer","14:50:00","15:10:00","1","1","1","1","4","N","Monthly","triple",NA,"",NA,NA,"86_rep1","sample","sample",NA,"86",1
"L11_0.45O_Sept22",287,"September",2022,"22.09.2022","B3","L11","0.45","orange ","summer","14:50:00","15:10:00","1","1","1","1","4","N","Monthly","triple",NA,"",NA,NA,"87_rep3","sample","sample",NA,"87",3
"L11_0.45R_Sept22",289,"September",2022,"22.09.2022","B3","L11","0.45","red","summer","14:50:00","15:10:00","1","1","1","1","4","N","Monthly","triple",NA,"",NA,NA,"88_rep3","sample","sample",NA,"88",3
"L12_0.45_Monthly_Sept22",293,"September",2022,"22.09.2022","B3","L12","0.45",NA,"summer","14:20:00","14:33:00","1","1","1","1","4","none","Monthly","three",NA,"",NA,NA,"90_rep3","sample","sample",NA,"90",3
"L1_0.45_Oct22",295,"October",2022,"21.10.2022","B1","L1","0.45",NA,"summer","13:30:00","13:50:00","1","1","1","1","4","N","Monthly",NA,NA,"",NA,NA,"91_rep2","sample","sample",NA,"91",2
"L2_0.45B_Oct22",297,"October",2022,"21.10.2022","B1","L2","0.45","blue","summer","13:30:00","13:59:00","1","1","1","1","4","none","Monthly",NA,NA,"",NA,NA,"92_rep1","sample","sample",NA,"92",1
"L2_0.45O_Oct22",299,"October",2022,"21.10.2022","B1","L2","0.45","orange ","summer","13:30:00","13:59:00","1","1","1","0,85","3,85","none","Monthly",NA,NA,"",NA,NA,"93_rep3","sample","sample",NA,"93",3
"L2_0.45R_Oct22",301,"October",2022,"21.10.2022","B1","L2","0.45","red","summer","13:30:00","13:59:00","1","1","1","1","4","none","Monthly",NA,NA,"",NA,NA,"94_rep3","sample","sample",NA,"94",3
"L3_0.45_Oct22",305,"October",2022,"21.10.2022","B1","L3","0.45",NA,"summer","13:30:00","13:45:00","1","1","1","1","4","NP","Monthly",NA,"BD","",NA,NA,"96_rep1","sample","sample",NA,"96",1
"L4_0.45_Oct22",307,"October",2022,"21.10.2022","B1","L4","0.45",NA,"summer","13:54:00","14:05:00","1","1","1","1","4","P","Monthly",NA,NA,"",NA,NA,"97_rep3","sample","sample",NA,"97",3
"L5_0.45_Oct22",309,"October",2022,"21.10.2022","B2","L5","0.45",NA,"summer","14:20:00","14:55:00","1","1","0,8","0,6","3,4","P","Monthly",NA,NA,"",NA,NA,"98_rep2","sample","sample",NA,"98",2
"L6_0.45_Oct22",311,"October",2022,"21.10.2022","B2","L6","0.45",NA,"summer","14:10:00","14:45:00","1","1","1","1","4","NP","Monthly",NA,NA,"",NA,NA,"99_rep2","sample","sample",NA,"99",2
