Sample_ID;plate_no;plate_col;plate_row
B01-rep1;1;1;A
117-rep1;1;1;B
118-rep1;1;1;C
119-rep1;1;1;D
120-rep1;1;1;E
121-rep1;1;1;F
122-rep1;1;1;G
E00-rep1;1;1;H
E01-rep1;1;2;A
B02-rep1;1;2;B
N01-rep1;1;2;C
P01-rep1;1;2;D
123-rep1;1;2;E
124-rep1;1;2;F
125-rep1;1;2;G
126-rep1;1;2;H
127-rep1;1;3;A
128-rep1;1;3;B
B03-rep1;1;3;C
129-rep1;1;3;D
E02-rep1;1;3;E
N02-rep1;1;3;F
P02-rep1;1;3;G
130-rep1;1;3;H
131-rep1;1;4;A
132-rep1;1;4;B
133-rep1;1;4;C
B04-rep1;1;4;D
134-rep1;1;4;E
135-rep1;1;4;F
136-rep1;1;4;G
E03-rep1;1;4;H
N03-rep1;1;5;A
P03-rep1;1;5;B
137-rep1;1;5;C
138-rep1;1;5;D
B05-rep1;1;5;E
139-rep1;1;5;F
140-rep1;1;5;G
141-rep1;1;5;H
142-rep1;1;6;A
143-rep1;1;6;B
E04-rep1;1;6;C
P04-rep1;1;6;D
N04-rep1;1;6;E
B06-rep1;1;6;F
144-rep1;1;6;G
145-rep1;1;6;H
146-rep1;1;7;A
147-rep1;1;7;B
148-rep1;1;7;C
149-rep1;1;7;D
150-rep1;1;7;E
E05-rep1;1;7;F
B07-rep1;1;7;G
N05-rep1;1;7;H
P05-rep1;1;8;A
151-rep1;1;8;B
152-rep1;1;8;C
153-rep1;1;8;D
154-rep1;1;8;E
155-rep1;1;8;F
156-rep1;1;8;G
B08-rep1;1;8;H
157-rep1;1;9;A
E06-rep1;1;9;B
N06-rep1;1;9;C
P06-rep1;1;9;D
158-rep1;1;9;E
159-rep1;1;9;F
B09-rep1;1;9;G
160-rep1;1;9;H
161-rep1;1;10;A
162-rep1;1;10;B
163-rep1;1;10;C
164-rep1;1;10;D
E07-rep1;1;10;E
B10-rep1;1;10;F
N07-rep1;1;10;G
P07-rep1;1;10;H
165-rep1;1;11;A
166-rep1;1;11;B
167-rep1;1;11;C
E75-rep1;1;11;D
B11-rep1;1;11;E
168-rep1;1;11;F
169-rep1;1;11;G
170-rep1;1;11;H
E08-rep1;1;12;A
N08-rep1;1;12;B
P08-rep1;1;12;C
B12-rep1;1;12;D
171-rep1;1;12;E
172-rep1;1;12;F
173-rep1;1;12;G
174-rep1;1;12;H
B01-rep2;2;1;A
117-rep2;2;1;B
118-rep2;2;1;C
119-rep2;2;1;D
120-rep2;2;1;E
121-rep2;2;1;F
122-rep2;2;1;G
E00-rep2;2;1;H
E01-rep2;2;2;A
B02-rep2;2;2;B
N01-rep2;2;2;C
P01-rep2;2;2;D
123-rep2;2;2;E
124-rep2;2;2;F
125-rep2;2;2;G
126-rep2;2;2;H
127-rep2;2;3;A
128-rep2;2;3;B
B03-rep2;2;3;C
129-rep2;2;3;D
E02-rep2;2;3;E
N02-rep2;2;3;F
P02-rep2;2;3;G
130-rep2;2;3;H
131-rep2;2;4;A
132-rep2;2;4;B
133-rep2;2;4;C
B04-rep2;2;4;D
134-rep2;2;4;E
135-rep2;2;4;F
136-rep2;2;4;G
E03-rep2;2;4;H
N03-rep2;2;5;A
P03-rep2;2;5;B
137-rep2;2;5;C
138-rep2;2;5;D
B05-rep2;2;5;E
139-rep2;2;5;F
140-rep2;2;5;G
141-rep2;2;5;H
142-rep2;2;6;A
143-rep2;2;6;B
E04-rep2;2;6;C
P04-rep2;2;6;D
N04-rep2;2;6;E
B06-rep2;2;6;F
144-rep2;2;6;G
145-rep2;2;6;H
146-rep2;2;7;A
147-rep2;2;7;B
148-rep2;2;7;C
149-rep2;2;7;D
150-rep2;2;7;E
E05-rep2;2;7;F
B07-rep2;2;7;G
N05-rep2;2;7;H
P05-rep2;2;8;A
151-rep2;2;8;B
152-rep2;2;8;C
153-rep2;2;8;D
154-rep2;2;8;E
155-rep2;2;8;F
156-rep2;2;8;G
B08-rep2;2;8;H
157-rep2;2;9;A
E06-rep2;2;9;B
N06-rep2;2;9;C
P06-rep2;2;9;D
158-rep2;2;9;E
159-rep2;2;9;F
B09-rep2;2;9;G
160-rep2;2;9;H
161-rep2;2;10;A
162-rep2;2;10;B
163-rep2;2;10;C
164-rep2;2;10;D
E07-rep2;2;10;E
B10-rep2;2;10;F
N07-rep2;2;10;G
P07-rep2;2;10;H
165-rep2;2;11;A
166-rep2;2;11;B
167-rep2;2;11;C
E75-rep2;2;11;D
B11-rep2;2;11;E
168-rep2;2;11;F
169-rep2;2;11;G
170-rep2;2;11;H
E08-rep2;2;12;A
N08-rep2;2;12;B
P08-rep2;2;12;C
B12-rep2;2;12;D
171-rep2;2;12;E
172-rep2;2;12;F
173-rep2;2;12;G
174-rep2;2;12;H
B01-rep3;3;1;A
117-rep3;3;1;B
118-rep3;3;1;C
119-rep3;3;1;D
120-rep3;3;1;E
121-rep3;3;1;F
122-rep3;3;1;G
E00-rep3;3;1;H
E01-rep3;3;2;A
B02-rep3;3;2;B
N01-rep3;3;2;C
P01-rep3;3;2;D
123-rep3;3;2;E
124-rep3;3;2;F
125-rep3;3;2;G
126-rep3;3;2;H
127-rep3;3;3;A
128-rep3;3;3;B
B03-rep3;3;3;C
129-rep3;3;3;D
E02-rep3;3;3;E
N02-rep3;3;3;F
P02-rep3;3;3;G
130-rep3;3;3;H
131-rep3;3;4;A
132-rep3;3;4;B
133-rep3;3;4;C
B04-rep3;3;4;D
134-rep3;3;4;E
135-rep3;3;4;F
136-rep3;3;4;G
E03-rep3;3;4;H
N03-rep3;3;5;A
P03-rep3;3;5;B
137-rep3;3;5;C
138-rep3;3;5;D
B05-rep3;3;5;E
139-rep3;3;5;F
140-rep3;3;5;G
141-rep3;3;5;H
142-rep3;3;6;A
143-rep3;3;6;B
E04-rep3;3;6;C
P04-rep3;3;6;D
N04-rep3;3;6;E
B06-rep3;3;6;F
144-rep3;3;6;G
145-rep3;3;6;H
146-rep3;3;7;A
147-rep3;3;7;B
148-rep3;3;7;C
149-rep3;3;7;D
150-rep3;3;7;E
E05-rep3;3;7;F
B07-rep3;3;7;G
N05-rep3;3;7;H
P05-rep3;3;8;A
151-rep3;3;8;B
152-rep3;3;8;C
153-rep3;3;8;D
154-rep3;3;8;E
155-rep3;3;8;F
156-rep3;3;8;G
B08-rep3;3;8;H
157-rep3;3;9;A
E06-rep3;3;9;B
N06-rep3;3;9;C
P06-rep3;3;9;D
158-rep3;3;9;E
159-rep3;3;9;F
B09-rep3;3;9;G
160-rep3;3;9;H
161-rep3;3;10;A
162-rep3;3;10;B
163-rep3;3;10;C
164-rep3;3;10;D
E07-rep3;3;10;E
B10-rep3;3;10;F
N07-rep3;3;10;G
P07-rep3;3;10;H
165-rep3;3;11;A
166-rep3;3;11;B
167-rep3;3;11;C
E75-rep3;3;11;D
B11-rep3;3;11;E
168-rep3;3;11;F
169-rep3;3;11;G
170-rep3;3;11;H
E08-rep3;3;12;A
N08-rep3;3;12;B
P08-rep3;3;12;C
B12-rep3;3;12;D
171-rep3;3;12;E
172-rep3;3;12;F
173-rep3;3;12;G
174-rep3;3;12;H
