Sample_ID;plate_no;plate_col;plate_row
59-rep1;1;1;B
59-rep2;2;1;B
59-rep3;3;1;B
60-rep1;1;1;C
60-rep2;2;1;C
60-rep3;3;1;C
61-rep1;1;1;D
61-rep2;2;1;D
61-rep3;3;1;D
62-rep1;1;1;E
62-rep2;2;1;E
62-rep3;3;1;E
63-rep1;1;1;F
63-rep2;2;1;F
63-rep3;3;1;F
64-rep1;1;1;G
64-rep2;2;1;G
64-rep3;3;1;G
65-rep1;1;2;E
65-rep2;2;2;E
65-rep3;3;2;E
66-rep1;1;2;F
66-rep2;2;2;F
66-rep3;3;2;F
67-rep1;1;2;G
67-rep2;2;2;G
67-rep3;3;2;G
68-rep1;1;2;H
68-rep2;2;2;H
68-rep3;3;2;H
69-rep1;1;3;A
69-rep2;2;3;A
69-rep3;3;3;A
70-rep1;1;3;B
70-rep2;2;3;B
70-rep3;3;3;B
71-rep1;1;3;D
71-rep2;2;3;D
71-rep3;3;3;D
72-rep1;1;3;H
72-rep2;2;3;H
72-rep3;3;3;H
73-rep1;1;4;A
73-rep2;2;4;A
73-rep3;3;4;A
74-rep1;1;4;B
74-rep2;2;4;B
74-rep3;3;4;B
75-rep1;1;4;C
75-rep2;2;4;C
75-rep3;3;4;C
76-rep1;1;4;E
76-rep2;2;4;E
76-rep3;3;4;E
77-rep1;1;4;F
77-rep2;2;4;F
77-rep3;3;4;F
78-rep1;1;4;G
78-rep2;2;4;G
78-rep3;3;4;G
79-rep1;1;5;C
79-rep2;2;5;C
79-rep3;3;5;C
80-rep1;1;5;D
80-rep2;2;5;D
80-rep3;3;5;D
81-rep1;1;5;F
81-rep2;2;5;F
81-rep3;3;5;F
82-rep1;1;5;G
82-rep2;2;5;G
82-rep3;3;5;G
83-rep1;1;5;H
83-rep2;2;5;H
83-rep3;3;5;H
84-rep1;1;6;A
84-rep2;2;6;A
84-rep3;3;6;A
85-rep1;1;6;B
85-rep2;2;6;B
85-rep3;3;6;B
86-rep1;1;6;G
86-rep2;2;6;G
86-rep3;3;6;G
87-rep1;1;6;H
87-rep2;2;6;H
87-rep3;3;6;H
88-rep1;1;7;A
88-rep2;2;7;A
88-rep3;3;7;A
89-rep1;1;7;B
89-rep2;2;7;B
89-rep3;3;7;B
90-rep1;1;7;C
90-rep2;2;7;C
90-rep3;3;7;C
91-rep1;1;7;D
91-rep2;2;7;D
91-rep3;3;7;D
92-rep1;1;7;E
92-rep2;2;7;E
92-rep3;3;7;E
93-rep1;1;8;B
93-rep2;2;8;B
93-rep3;3;8;B
94-rep1;1;8;C
94-rep2;2;8;C
94-rep3;3;8;C
95-rep1;1;8;D
95-rep2;2;8;D
95-rep3;3;8;D
96-rep1;1;8;E
96-rep2;2;8;E
96-rep3;3;8;E
97-rep1;1;8;F
97-rep2;2;8;F
97-rep3;3;8;F
98-rep1;1;8;G
98-rep2;2;8;G
98-rep3;3;8;G
99-rep1;1;9;A
99-rep2;2;9;A
99-rep3;3;9;A
100-rep1;1;9;E
100-rep2;2;9;E
100-rep3;3;9;E
101-rep1;1;9;F
101-rep2;2;9;F
101-rep3;3;9;F
102-rep1;1;9;H
102-rep2;2;9;H
102-rep3;3;9;H
103-rep1;1;10;A
103-rep2;2;10;A
103-rep3;3;10;A
104-rep1;1;10;B
104-rep2;2;10;B
104-rep3;3;10;B
105-rep1;1;10;C
105-rep2;2;10;C
105-rep3;3;10;C
106-rep1;1;10;D
106-rep2;2;10;D
106-rep3;3;10;D
107-rep1;1;11;A
107-rep2;2;11;A
107-rep3;3;11;A
108-rep1;1;11;B
108-rep2;2;11;B
108-rep3;3;11;B
109-rep1;1;11;C
109-rep2;2;11;C
109-rep3;3;11;C
110-rep1;1;11;F
110-rep2;2;11;F
110-rep3;3;11;F
111-rep1;1;11;G
111-rep2;2;11;G
111-rep3;3;11;G
112-rep1;1;11;H
112-rep2;2;11;H
112-rep3;3;11;H
113-rep1;1;12;E
113-rep2;2;12;E
113-rep3;3;12;E
114-rep1;1;12;F
114-rep2;2;12;F
114-rep3;3;12;F
115-rep1;1;12;G
115-rep2;2;12;G
115-rep3;3;12;G
116-rep1;1;12;H
116-rep2;2;12;H
116-rep3;3;12;H
B01-rep1;1;1;A
B01-rep2;2;1;A
B01-rep3;3;1;A
B02-rep1;1;2;B
B02-rep2;2;2;B
B02-rep3;3;2;B
B03-rep1;1;3;C
B03-rep2;2;3;C
B03-rep3;3;3;C
B04-rep1;1;4;D
B04-rep2;2;4;D
B04-rep3;3;4;D
B05-rep1;1;5;E
B05-rep2;2;5;E
B05-rep3;3;5;E
B06-rep1;1;6;F
B06-rep2;2;6;F
B06-rep3;3;6;F
B07-rep1;1;7;G
B07-rep2;2;7;G
B07-rep3;3;7;G
B08-rep1;1;8;H
B08-rep2;2;8;H
B08-rep3;3;8;H
B09-rep1;1;9;G
B09-rep2;2;9;G
B09-rep3;3;9;G
B10-rep1;1;10;F
B10-rep2;2;10;F
B10-rep3;3;10;F
B11-rep1;1;11;E
B11-rep2;2;11;E
B11-rep3;3;11;E
B12-rep1;1;12;D
B12-rep2;2;12;D
B12-rep3;3;12;D
E00-rep1;1;1;H
E00-rep2;2;1;H
E00-rep3;3;1;H
E01-rep1;1;2;A
E01-rep2;2;2;A
E01-rep3;3;2;A
E02-rep1;1;3;E
E02-rep2;2;3;E
E02-rep3;3;3;E
E03-rep1;1;4;H
E03-rep2;2;4;H
E03-rep3;3;4;H
E04-rep1;1;6;C
E04-rep2;2;6;C
E04-rep3;3;6;C
E05-rep1;1;7;F
E05-rep2;2;7;F
E05-rep3;3;7;F
E06-rep1;1;9;B
E06-rep2;2;9;B
E06-rep3;3;9;B
E07-rep1;1;10;E
E07-rep2;2;10;E
E07-rep3;3;10;E
E08-rep1;1;12;A
E08-rep2;2;12;A
E08-rep3;3;12;A
E75-rep1;1;11;D
E75-rep2;2;11;D
E75-rep3;3;11;D
N01-rep1;1;2;C
N01-rep2;2;2;C
N01-rep3;3;2;C
N02-rep1;1;3;F
N02-rep2;2;3;F
N02-rep3;3;3;F
N03-rep1;1;5;A
N03-rep2;2;5;A
N03-rep3;3;5;A
N04-rep1;1;6;E
N04-rep2;2;6;E
N04-rep3;3;6;E
N05-rep1;1;7;H
N05-rep2;2;7;H
N05-rep3;3;7;H
N06-rep1;1;9;C
N06-rep2;2;9;C
N06-rep3;3;9;C
N07-rep1;1;10;G
N07-rep2;2;10;G
N07-rep3;3;10;G
N08-rep1;1;12;B
N08-rep2;2;12;B
N08-rep3;3;12;B
P01-rep1;1;2;D
P01-rep2;2;2;D
P01-rep3;3;2;D
P02-rep1;1;3;G
P02-rep2;2;3;G
P02-rep3;3;3;G
P03-rep1;1;5;B
P03-rep2;2;5;B
P03-rep3;3;5;B
P04-rep1;1;6;D
P04-rep2;2;6;D
P04-rep3;3;6;D
P05-rep1;1;8;A
P05-rep2;2;8;A
P05-rep3;3;8;A
P06-rep1;1;9;D
P06-rep2;2;9;D
P06-rep3;3;9;D
P07-rep1;1;10;H
P07-rep2;2;10;H
P07-rep3;3;10;H
P08-rep1;1;12;C
P08-rep2;2;12;C
P08-rep3;3;12;C
