Sample_ID;plate_no;plate_col;plate_row
B01-rep1;1;1;A
1-rep1;1;1;B
2-rep1;1;1;C
3-rep1;1;1;D
4-rep1;1;1;E
5-rep1;1;1;F
6-rep1;1;1;G
E00-rep1;1;1;H
E01-rep1;1;2;A
B02-rep1;1;2;B
N01-rep1;1;2;C
P01-rep1;1;2;D
7-rep1;1;2;E
8-rep1;1;2;F
9-rep1;1;2;G
10-rep1;1;2;H
11-rep1;1;3;A
12-rep1;1;3;B
B03-rep1;1;3;C
13-rep1;1;3;D
E02-rep1;1;3;E
N02-rep1;1;3;F
P02-rep1;1;3;G
14-rep1;1;3;H
15-rep1;1;4;A
16-rep1;1;4;B
17-rep1;1;4;C
B04-rep1;1;4;D
18-rep1;1;4;E
19-rep1;1;4;F
20-rep1;1;4;G
E03-rep1;1;4;H
N03-rep1;1;5;A
P03-rep1;1;5;B
21-rep1;1;5;C
22-rep1;1;5;D
B05-rep1;1;5;E
23-rep1;1;5;F
24-rep1;1;5;G
25-rep1;1;5;H
26-rep1;1;6;A
27-rep1;1;6;B
E04-rep1;1;6;C
P04-rep1;1;6;D
N04-rep1;1;6;E
B06-rep1;1;6;F
28-rep1;1;6;G
29-rep1;1;6;H
30-rep1;1;7;A
31-rep1;1;7;B
32-rep1;1;7;C
33-rep1;1;7;D
34-rep1;1;7;E
E05-rep1;1;7;F
B07-rep1;1;7;G
N05-rep1;1;7;H
P05-rep1;1;8;A
35-rep1;1;8;B
36-rep1;1;8;C
37-rep1;1;8;D
38-rep1;1;8;E
39-rep1;1;8;F
40-rep1;1;8;G
B08-rep1;1;8;H
41-rep1;1;9;A
E06-rep1;1;9;B
N06-rep1;1;9;C
P06-rep1;1;9;D
42-rep1;1;9;E
43-rep1;1;9;F
B09-rep1;1;9;G
44-rep1;1;9;H
45-rep1;1;10;A
46-rep1;1;10;B
47-rep1;1;10;C
48-rep1;1;10;D
E07-rep1;1;10;E
B10-rep1;1;10;F
N07-rep1;1;10;G
P07-rep1;1;10;H
49-rep1;1;11;A
50-rep1;1;11;B
51-rep1;1;11;C
E75-rep1;1;11;D
B11-rep1;1;11;E
52-rep1;1;11;F
53-rep1;1;11;G
54-rep1;1;11;H
E08-rep1;1;12;A
N08-rep1;1;12;B
P08-rep1;1;12;C
B12-rep1;1;12;D
55-rep1;1;12;E
56-rep1;1;12;F
57-rep1;1;12;G
58-rep1;1;12;H
B01-rep2;2;1;A
1-rep2;2;1;B
2-rep2;2;1;C
3-rep2;2;1;D
4-rep2;2;1;E
5-rep2;2;1;F
6-rep2;2;1;G
E00-rep2;2;1;H
E01-rep2;2;2;A
B02-rep2;2;2;B
N01-rep2;2;2;C
P01-rep2;2;2;D
7-rep2;2;2;E
8-rep2;2;2;F
9-rep2;2;2;G
10-rep2;2;2;H
11-rep2;2;3;A
12-rep2;2;3;B
B03-rep2;2;3;C
13-rep2;2;3;D
E02-rep2;2;3;E
N02-rep2;2;3;F
P02-rep2;2;3;G
14-rep2;2;3;H
15-rep2;2;4;A
16-rep2;2;4;B
17-rep2;2;4;C
B04-rep2;2;4;D
18-rep2;2;4;E
19-rep2;2;4;F
20-rep2;2;4;G
E03-rep2;2;4;H
N03-rep2;2;5;A
P03-rep2;2;5;B
21-rep2;2;5;C
22-rep2;2;5;D
B05-rep2;2;5;E
23-rep2;2;5;F
24-rep2;2;5;G
25-rep2;2;5;H
26-rep2;2;6;A
27-rep2;2;6;B
E04-rep2;2;6;C
P04-rep2;2;6;D
N04-rep2;2;6;E
B06-rep2;2;6;F
28-rep2;2;6;G
29-rep2;2;6;H
30-rep2;2;7;A
31-rep2;2;7;B
32-rep2;2;7;C
33-rep2;2;7;D
34-rep2;2;7;E
E05-rep2;2;7;F
B07-rep2;2;7;G
N05-rep2;2;7;H
P05-rep2;2;8;A
35-rep2;2;8;B
36-rep2;2;8;C
37-rep2;2;8;D
38-rep2;2;8;E
39-rep2;2;8;F
40-rep2;2;8;G
B08-rep2;2;8;H
41-rep2;2;9;A
E06-rep2;2;9;B
N06-rep2;2;9;C
P06-rep2;2;9;D
42-rep2;2;9;E
43-rep2;2;9;F
B09-rep2;2;9;G
44-rep2;2;9;H
45-rep2;2;10;A
46-rep2;2;10;B
47-rep2;2;10;C
48-rep2;2;10;D
E07-rep2;2;10;E
B10-rep2;2;10;F
N07-rep2;2;10;G
P07-rep2;2;10;H
49-rep2;2;11;A
50-rep2;2;11;B
51-rep2;2;11;C
E75-rep2;2;11;D
B11-rep2;2;11;E
52-rep2;2;11;F
53-rep2;2;11;G
54-rep2;2;11;H
E08-rep2;2;12;A
N08-rep2;2;12;B
P08-rep2;2;12;C
B12-rep2;2;12;D
55-rep2;2;12;E
56-rep2;2;12;F
57-rep2;2;12;G
58-rep2;2;12;H
B01-rep3;3;1;A
1-rep3;3;1;B
2-rep3;3;1;C
3-rep3;3;1;D
4-rep3;3;1;E
5-rep3;3;1;F
6-rep3;3;1;G
E00-rep3;3;1;H
E01-rep3;3;2;A
B02-rep3;3;2;B
N01-rep3;3;2;C
P01-rep3;3;2;D
7-rep3;3;2;E
8-rep3;3;2;F
9-rep3;3;2;G
10-rep3;3;2;H
11-rep3;3;3;A
12-rep3;3;3;B
B03-rep3;3;3;C
13-rep3;3;3;D
E02-rep3;3;3;E
N02-rep3;3;3;F
P02-rep3;3;3;G
14-rep3;3;3;H
15-rep3;3;4;A
16-rep3;3;4;B
17-rep3;3;4;C
B04-rep3;3;4;D
18-rep3;3;4;E
19-rep3;3;4;F
20-rep3;3;4;G
E03-rep3;3;4;H
N03-rep3;3;5;A
P03-rep3;3;5;B
21-rep3;3;5;C
22-rep3;3;5;D
B05-rep3;3;5;E
23-rep3;3;5;F
24-rep3;3;5;G
25-rep3;3;5;H
26-rep3;3;6;A
27-rep3;3;6;B
E04-rep3;3;6;C
P04-rep3;3;6;D
N04-rep3;3;6;E
B06-rep3;3;6;F
28-rep3;3;6;G
29-rep3;3;6;H
30-rep3;3;7;A
31-rep3;3;7;B
32-rep3;3;7;C
33-rep3;3;7;D
34-rep3;3;7;E
E05-rep3;3;7;F
B07-rep3;3;7;G
N05-rep3;3;7;H
P05-rep3;3;8;A
35-rep3;3;8;B
36-rep3;3;8;C
37-rep3;3;8;D
38-rep3;3;8;E
39-rep3;3;8;F
40-rep3;3;8;G
B08-rep3;3;8;H
41-rep3;3;9;A
E06-rep3;3;9;B
N06-rep3;3;9;C
P06-rep3;3;9;D
42-rep3;3;9;E
43-rep3;3;9;F
B09-rep3;3;9;G
44-rep3;3;9;H
45-rep3;3;10;A
46-rep3;3;10;B
47-rep3;3;10;C
48-rep3;3;10;D
E07-rep3;3;10;E
B10-rep3;3;10;F
N07-rep3;3;10;G
P07-rep3;3;10;H
49-rep3;3;11;A
50-rep3;3;11;B
51-rep3;3;11;C
E75-rep3;3;11;D
B11-rep3;3;11;E
52-rep3;3;11;F
53-rep3;3;11;G
54-rep3;3;11;H
E08-rep3;3;12;A
N08-rep3;3;12;B
P08-rep3;3;12;C
B12-rep3;3;12;D
55-rep3;3;12;E
56-rep3;3;12;F
57-rep3;3;12;G
58-rep3;3;12;H
