Sample_ID;Sample_Type;type;control_type;Sample;Sample_pla;Replicate
221-rep1;sample;sample;NA;221;T3_0.45_blue_June22;1
222-rep1;sample;sample;NA;222;T3_0.45_orange_June22;1
223-rep1;sample;sample;NA;223;T3_0.45_red_June22;1
224-rep1;sample;sample;NA;224;T4_0.45_blue_June22;1
225-rep1;sample;sample;NA;225;T4_0.45_orange_June22;1
226-rep1;sample;sample;NA;226;T4_0.45_red_June22;1
227-rep1;sample;sample;NA;227;T5_0.45_blue_June22;1
228-rep1;sample;sample;NA;228;T5_0.45_orange_June22;1
229-rep1;sample;sample;NA;229;T5_0.45_red_June22;1
230-rep1;sample;sample;NA;230;T6_0.45_blue_June22;1
231-rep1;sample;sample;NA;231;T6_0.45_orange_June22;1
232-rep1;sample;sample;NA;232;T6_0.45_red_June22;1
175-rep2;sample;sample;NA;175;L7_0.45_March23;2
176-rep2;sample;sample;NA;176;L8_0.45_March23;2
177-rep2;sample;sample;NA;177;L9_0.45_March23;2
178-rep2;sample;sample;NA;178;L10_0.45_March23;2
179-rep2;sample;sample;NA;179;L11_0.45_March23;2
180-rep2;sample;sample;NA;180;L12_0.45_March23;2
181-rep2;sample;sample;NA;181;L1_0.45_Apr23;2
182-rep2;sample;sample;NA;182;L2_0.45_Apr23;2
183-rep2;sample;sample;NA;183;L3_0.45B_Apr23;2
184-rep2;sample;sample;NA;184;L3_0.45O_Apr23;2
185-rep2;sample;sample;NA;185;L3_0.45R_Apr23;2
186-rep2;sample;sample;NA;186;L4_0.45_Apr23;2
188-rep2;sample;sample;NA;188;L5_0.45_Apr23;2
189-rep2;sample;sample;NA;189;L6_0.45_Apr23;2
190-rep2;sample;sample;NA;190;L7_0.45_Apr23;2
191-rep2;sample;sample;NA;191;L8_0.45_Apr23;2
192-rep2;sample;sample;NA;192;L9_0.45_Apr23;2
193-rep2;sample;sample;NA;193;L10_0.45_Apr23;2
194-rep2;sample;sample;NA;194;L11_0.45_Apr23;2
195-rep2;sample;sample;NA;195;L12_0.45_Apr23;2
196-rep2;sample;sample;NA;196;T1_0.45_blue_March22;2
197-rep2;sample;sample;NA;197;T1_0.45_orange_March22;2
198-rep2;sample;sample;NA;198;T1_0.45_red_March22;2
199-rep2;sample;sample;NA;199;T2_0.45_blue_March22;2
200-rep2;sample;sample;NA;200;T2_0.45_orange_March22;2
201-rep2;sample;sample;NA;201;T2_0.45_red_March22;2
202-rep2;sample;sample;NA;202;T3_0.45_blue_March22;2
203-rep2;sample;sample;NA;203;T3_0.45_orange_March22;2
204-rep2;sample;sample;NA;204;T3_0.45_red_March22;2
205-rep2;sample;sample;NA;205;T4_0.45_blue_March22;2
206-rep2;sample;sample;NA;206;T4_0.45_orange_March22;2
207-rep2;sample;sample;NA;207;T4_0.45_red_March22;2
208-rep2;sample;sample;NA;208;T5_0.45_blue_March22;2
209-rep2;sample;sample;NA;209;T5_0.45_orange_March22;2
210-rep2;sample;sample;NA;210;T5_0.45_red_March22;2
211-rep2;sample;sample;NA;211;T6_0.45_blue_March22;2
212-rep2;sample;sample;NA;212;T6_0.45_orange_March22;2
213-rep2;sample;sample;NA;213;T6_0.45_red_March22;2
215-rep2;sample;sample;NA;215;T1_0.45_blue_June22;2
216-rep2;sample;sample;NA;216;T1_0.45_orange_June22;2
217-rep2;sample;sample;NA;217;T1_0.45_red_June22;2
218-rep2;sample;sample;NA;218;T2_0.45_blue_June22;2
219-rep2;sample;sample;NA;219;T2_0.45_orange_June22;2
220-rep2;sample;sample;NA;220;T2_0.45_red_June22;2
221-rep2;sample;sample;NA;221;T3_0.45_blue_June22;2
222-rep2;sample;sample;NA;222;T3_0.45_orange_June22;2
223-rep2;sample;sample;NA;223;T3_0.45_red_June22;2
224-rep2;sample;sample;NA;224;T4_0.45_blue_June22;2
225-rep2;sample;sample;NA;225;T4_0.45_orange_June22;2
226-rep2;sample;sample;NA;226;T4_0.45_red_June22;2
227-rep2;sample;sample;NA;227;T5_0.45_blue_June22;2
228-rep2;sample;sample;NA;228;T5_0.45_orange_June22;2
229-rep2;sample;sample;NA;229;T5_0.45_red_June22;2
230-rep2;sample;sample;NA;230;T6_0.45_blue_June22;2
231-rep2;sample;sample;NA;231;T6_0.45_orange_June22;2
232-rep2;sample;sample;NA;232;T6_0.45_red_June22;2
175-rep3;sample;sample;NA;175;L7_0.45_March23;3
176-rep3;sample;sample;NA;176;L8_0.45_March23;3
177-rep3;sample;sample;NA;177;L9_0.45_March23;3
178-rep3;sample;sample;NA;178;L10_0.45_March23;3
179-rep3;sample;sample;NA;179;L11_0.45_March23;3
180-rep3;sample;sample;NA;180;L12_0.45_March23;3
181-rep3;sample;sample;NA;181;L1_0.45_Apr23;3
182-rep3;sample;sample;NA;182;L2_0.45_Apr23;3
183-rep3;sample;sample;NA;183;L3_0.45B_Apr23;3
184-rep3;sample;sample;NA;184;L3_0.45O_Apr23;3
185-rep3;sample;sample;NA;185;L3_0.45R_Apr23;3
186-rep3;sample;sample;NA;186;L4_0.45_Apr23;3
188-rep3;sample;sample;NA;188;L5_0.45_Apr23;3
189-rep3;sample;sample;NA;189;L6_0.45_Apr23;3
190-rep3;sample;sample;NA;190;L7_0.45_Apr23;3
191-rep3;sample;sample;NA;191;L8_0.45_Apr23;3
192-rep3;sample;sample;NA;192;L9_0.45_Apr23;3
193-rep3;sample;sample;NA;193;L10_0.45_Apr23;3
194-rep3;sample;sample;NA;194;L11_0.45_Apr23;3
195-rep3;sample;sample;NA;195;L12_0.45_Apr23;3
196-rep3;sample;sample;NA;196;T1_0.45_blue_March22;3
197-rep3;sample;sample;NA;197;T1_0.45_orange_March22;3
198-rep3;sample;sample;NA;198;T1_0.45_red_March22;3
199-rep3;sample;sample;NA;199;T2_0.45_blue_March22;3
200-rep3;sample;sample;NA;200;T2_0.45_orange_March22;3
201-rep3;sample;sample;NA;201;T2_0.45_red_March22;3
202-rep3;sample;sample;NA;202;T3_0.45_blue_March22;3
203-rep3;sample;sample;NA;203;T3_0.45_orange_March22;3
204-rep3;sample;sample;NA;204;T3_0.45_red_March22;3
205-rep3;sample;sample;NA;205;T4_0.45_blue_March22;3
206-rep3;sample;sample;NA;206;T4_0.45_orange_March22;3
207-rep3;sample;sample;NA;207;T4_0.45_red_March22;3
208-rep3;sample;sample;NA;208;T5_0.45_blue_March22;3
209-rep3;sample;sample;NA;209;T5_0.45_orange_March22;3
210-rep3;sample;sample;NA;210;T5_0.45_red_March22;3
211-rep3;sample;sample;NA;211;T6_0.45_blue_March22;3
212-rep3;sample;sample;NA;212;T6_0.45_orange_March22;3
213-rep3;sample;sample;NA;213;T6_0.45_red_March22;3
215-rep3;sample;sample;NA;215;T1_0.45_blue_June22;3
216-rep3;sample;sample;NA;216;T1_0.45_orange_June22;3
217-rep3;sample;sample;NA;217;T1_0.45_red_June22;3
218-rep3;sample;sample;NA;218;T2_0.45_blue_June22;3
219-rep3;sample;sample;NA;219;T2_0.45_orange_June22;3
220-rep3;sample;sample;NA;220;T2_0.45_red_June22;3
221-rep3;sample;sample;NA;221;T3_0.45_blue_June22;3
222-rep3;sample;sample;NA;222;T3_0.45_orange_June22;3
223-rep3;sample;sample;NA;223;T3_0.45_red_June22;3
224-rep3;sample;sample;NA;224;T4_0.45_blue_June22;3
225-rep3;sample;sample;NA;225;T4_0.45_orange_June22;3
226-rep3;sample;sample;NA;226;T4_0.45_red_June22;3
227-rep3;sample;sample;NA;227;T5_0.45_blue_June22;3
228-rep3;sample;sample;NA;228;T5_0.45_orange_June22;3
229-rep3;sample;sample;NA;229;T5_0.45_red_June22;3
230-rep3;sample;sample;NA;230;T6_0.45_blue_June22;3
231-rep3;sample;sample;NA;231;T6_0.45_orange_June22;3
232-rep3;sample;sample;NA;232;T6_0.45_red_June22;3
175-rep1;sample;sample;NA;175;L7_0.45_March23;1
176-rep1;sample;sample;NA;176;L8_0.45_March23;1
177-rep1;sample;sample;NA;177;L9_0.45_March23;1
178-rep1;sample;sample;NA;178;L10_0.45_March23;1
179-rep1;sample;sample;NA;179;L11_0.45_March23;1
180-rep1;sample;sample;NA;180;L12_0.45_March23;1
181-rep1;sample;sample;NA;181;L1_0.45_Apr23;1
182-rep1;sample;sample;NA;182;L2_0.45_Apr23;1
183-rep1;sample;sample;NA;183;L3_0.45B_Apr23;1
