Sample_ID;Sample_Type;type;control_type;Sample;Sample_pla;Replicate
B01-rep1;blank;control;sequencing;B01;B01;1
B02-rep1;blank;control;sequencing;B02;B02;1
B03-rep1;blank;control;sequencing;B03;B03;1
B04-rep1;blank;control;sequencing;B04;B04;1
B05-rep1;blank;control;sequencing;B05;B05;1
B06-rep1;blank;control;sequencing;B06;B06;1
B07-rep1;blank;control;sequencing;B07;B07;1
B08-rep1;blank;control;sequencing;B08;B08;1
B09-rep1;blank;control;sequencing;B09;B09;1
B10-rep1;blank;control;sequencing;B10;B10;1
B11-rep1;blank;control;sequencing;B11;B11;1
B12-rep1;blank;control;sequencing;B12;B12;1
B01-rep2;blank;control;sequencing;B01;B01;2
B02-rep2;blank;control;sequencing;B02;B02;2
B03-rep2;blank;control;sequencing;B03;B03;2
B04-rep2;blank;control;sequencing;B04;B04;2
B05-rep2;blank;control;sequencing;B05;B05;2
B06-rep2;blank;control;sequencing;B06;B06;2
B07-rep2;blank;control;sequencing;B07;B07;2
B08-rep2;blank;control;sequencing;B08;B08;2
B09-rep2;blank;control;sequencing;B09;B09;2
B10-rep2;blank;control;sequencing;B10;B10;2
B11-rep2;blank;control;sequencing;B11;B11;2
B12-rep2;blank;control;sequencing;B12;B12;2
B01-rep3;blank;control;sequencing;B01;B01;3
B02-rep3;blank;control;sequencing;B02;B02;3
B03-rep3;blank;control;sequencing;B03;B03;3
B04-rep3;blank;control;sequencing;B04;B04;3
B05-rep3;blank;control;sequencing;B05;B05;3
B06-rep3;blank;control;sequencing;B06;B06;3
B07-rep3;blank;control;sequencing;B07;B07;3
B08-rep3;blank;control;sequencing;B08;B08;3
B09-rep3;blank;control;sequencing;B09;B09;3
B10-rep3;blank;control;sequencing;B10;B10;3
B11-rep3;blank;control;sequencing;B11;B11;3
B12-rep3;blank;control;sequencing;B12;B12;3
E00-rep1;extraction;control;extraction;E00;E00;1
E01-rep1;extraction;control;extraction;E01;E01;1
E02-rep1;extraction;control;extraction;E02;E02;1
E03-rep1;extraction;control;extraction;E03;E03;1
E04-rep1;extraction;control;extraction;E04;E04;1
E05-rep1;extraction;control;extraction;E05;E05;1
E06-rep1;extraction;control;extraction;E06;E06;1
E07-rep1;extraction;control;extraction;E07;E07;1
E08-rep1;extraction;control;extraction;E08;E08;1
E75-rep1;extraction;control;extraction;E75;E75;1
E00-rep2;extraction;control;extraction;E00;E00;2
E01-rep2;extraction;control;extraction;E01;E01;2
E02-rep2;extraction;control;extraction;E02;E02;2
E03-rep2;extraction;control;extraction;E03;E03;2
E04-rep2;extraction;control;extraction;E04;E04;2
E05-rep2;extraction;control;extraction;E05;E05;2
E06-rep2;extraction;control;extraction;E06;E06;2
E07-rep2;extraction;control;extraction;E07;E07;2
E08-rep2;extraction;control;extraction;E08;E08;2
E75-rep2;extraction;control;extraction;E75;E75;2
E00-rep3;extraction;control;extraction;E00;E00;3
E01-rep3;extraction;control;extraction;E01;E01;3
E02-rep3;extraction;control;extraction;E02;E02;3
E03-rep3;extraction;control;extraction;E03;E03;3
E04-rep3;extraction;control;extraction;E04;E04;3
E05-rep3;extraction;control;extraction;E05;E05;3
E06-rep3;extraction;control;extraction;E06;E06;3
E07-rep3;extraction;control;extraction;E07;E07;3
E08-rep3;extraction;control;extraction;E08;E08;3
E75-rep3;extraction;control;extraction;E75;E75;3
187-rep1;negative_control;control;extraction;187;ctrl_0.45_Monthly_Apr23;1
187-rep2;negative_control;control;extraction;187;ctrl_0.45_Monthly_Apr23;2
187-rep3;negative_control;control;extraction;187;ctrl_0.45_Monthly_Apr23;3
214-rep1;negative_control;control;extraction;214;ctrl_0.45_daily_March22;1
214-rep2;negative_control;control;extraction;214;ctrl_0.45_daily_March22;2
214-rep3;negative_control;control;extraction;214;ctrl_0.45_daily_March22;3
N01-rep1;negative_control;control;pcr;N01;N01;1
N02-rep1;negative_control;control;pcr;N02;N02;1
N03-rep1;negative_control;control;pcr;N03;N03;1
N03-rep2;negative_control;control;pcr;N03;N03;2
N04-rep2;negative_control;control;pcr;N04;N04;2
N05-rep2;negative_control;control;pcr;N05;N05;2
N06-rep2;negative_control;control;pcr;N06;N06;2
N06-rep3;negative_control;control;pcr;N06;N06;3
N07-rep3;negative_control;control;pcr;N07;N07;3
N08-rep3;negative_control;control;pcr;N08;N08;3
N04-rep1;negative_control;control;pcr;N04;N04;1
N05-rep1;negative_control;control;pcr;N05;N05;1
N06-rep1;negative_control;control;pcr;N06;N06;1
N07-rep1;negative_control;control;pcr;N07;N07;1
N08-rep1;negative_control;control;pcr;N08;N08;1
N01-rep2;negative_control;control;pcr;N01;N01;2
N02-rep2;negative_control;control;pcr;N02;N02;2
N07-rep2;negative_control;control;pcr;N07;N07;2
N08-rep2;negative_control;control;pcr;N08;N08;2
N01-rep3;negative_control;control;pcr;N01;N01;3
N02-rep3;negative_control;control;pcr;N02;N02;3
N03-rep3;negative_control;control;pcr;N03;N03;3
N04-rep3;negative_control;control;pcr;N04;N04;3
N05-rep3;negative_control;control;pcr;N05;N05;3
P02-rep1;negative_control;control;positive;P02;P02;1
P03-rep1;negative_control;control;positive;P03;P03;1
P04-rep1;negative_control;control;positive;P04;P04;1
P05-rep1;negative_control;control;positive;P05;P05;1
P06-rep1;negative_control;control;positive;P06;P06;1
P07-rep1;negative_control;control;positive;P07;P07;1
P08-rep1;negative_control;control;positive;P08;P08;1
P01-rep2;negative_control;control;positive;P01;P01;2
P01-rep1;positive_control;control;positive;P01;P01;1
P02-rep2;positive_control;control;positive;P02;P02;2
P03-rep2;positive_control;control;positive;P03;P03;2
P04-rep2;positive_control;control;positive;P04;P04;2
P05-rep2;positive_control;control;positive;P05;P05;2
P06-rep2;positive_control;control;positive;P06;P06;2
P07-rep2;positive_control;control;positive;P07;P07;2
P08-rep2;positive_control;control;positive;P08;P08;2
P01-rep3;positive_control;control;positive;P01;P01;3
P02-rep3;positive_control;control;positive;P02;P02;3
P03-rep3;positive_control;control;positive;P03;P03;3
P04-rep3;positive_control;control;positive;P04;P04;3
P05-rep3;positive_control;control;positive;P05;P05;3
P06-rep3;positive_control;control;positive;P06;P06;3
P07-rep3;positive_control;control;positive;P07;P07;3
P08-rep3;positive_control;control;positive;P08;P08;3
184-rep1;sample;sample;NA;184;L3_0.45O_Apr23;1
185-rep1;sample;sample;NA;185;L3_0.45R_Apr23;1
186-rep1;sample;sample;NA;186;L4_0.45_Apr23;1
188-rep1;sample;sample;NA;188;L5_0.45_Apr23;1
189-rep1;sample;sample;NA;189;L6_0.45_Apr23;1
190-rep1;sample;sample;NA;190;L7_0.45_Apr23;1
191-rep1;sample;sample;NA;191;L8_0.45_Apr23;1
192-rep1;sample;sample;NA;192;L9_0.45_Apr23;1
193-rep1;sample;sample;NA;193;L10_0.45_Apr23;1
194-rep1;sample;sample;NA;194;L11_0.45_Apr23;1
195-rep1;sample;sample;NA;195;L12_0.45_Apr23;1
196-rep1;sample;sample;NA;196;T1_0.45_blue_March22;1
197-rep1;sample;sample;NA;197;T1_0.45_orange_March22;1
198-rep1;sample;sample;NA;198;T1_0.45_red_March22;1
199-rep1;sample;sample;NA;199;T2_0.45_blue_March22;1
200-rep1;sample;sample;NA;200;T2_0.45_orange_March22;1
201-rep1;sample;sample;NA;201;T2_0.45_red_March22;1
202-rep1;sample;sample;NA;202;T3_0.45_blue_March22;1
203-rep1;sample;sample;NA;203;T3_0.45_orange_March22;1
204-rep1;sample;sample;NA;204;T3_0.45_red_March22;1
205-rep1;sample;sample;NA;205;T4_0.45_blue_March22;1
206-rep1;sample;sample;NA;206;T4_0.45_orange_March22;1
207-rep1;sample;sample;NA;207;T4_0.45_red_March22;1
208-rep1;sample;sample;NA;208;T5_0.45_blue_March22;1
209-rep1;sample;sample;NA;209;T5_0.45_orange_March22;1
210-rep1;sample;sample;NA;210;T5_0.45_red_March22;1
211-rep1;sample;sample;NA;211;T6_0.45_blue_March22;1
212-rep1;sample;sample;NA;212;T6_0.45_orange_March22;1
213-rep1;sample;sample;NA;213;T6_0.45_red_March22;1
215-rep1;sample;sample;NA;215;T1_0.45_blue_June22;1
216-rep1;sample;sample;NA;216;T1_0.45_orange_June22;1
217-rep1;sample;sample;NA;217;T1_0.45_red_June22;1
218-rep1;sample;sample;NA;218;T2_0.45_blue_June22;1
219-rep1;sample;sample;NA;219;T2_0.45_orange_June22;1
220-rep1;sample;sample;NA;220;T2_0.45_red_June22;1
