Sample_ID;Sample_Type;type;control_type;Sample;Sample_pla;Replicate
2-rep2;sample;sample;NA;2;L2_0.45_April22;2
3-rep2;sample;sample;NA;3;L3_0.45_April22;2
4-rep2;sample;sample;NA;4;L4_0.45_April22;2
5-rep2;sample;sample;NA;5;L5_0.45_April22;2
6-rep2;sample;sample;NA;6;L6_0.45_April22;2
7-rep2;sample;sample;NA;7;L7_0.45_April22;2
8-rep2;sample;sample;NA;8;L8_0.45_April22;2
9-rep2;sample;sample;NA;9;L9_0.45_April22;2
10-rep2;sample;sample;NA;10;L10_0.45B_April22;2
11-rep2;sample;sample;NA;11;L10_0.45O_April22;2
12-rep2;sample;sample;NA;12;L10_0.45R_April22;2
14-rep2;sample;sample;NA;14;L11_0.45_April22;2
15-rep2;sample;sample;NA;15;L12_0.45_April22;2
16-rep2;sample;sample;NA;16;L1_0.45_May22;2
17-rep2;sample;sample;NA;17;L2_0.45_May22;2
18-rep2;sample;sample;NA;18;L3_0.45_May22;2
19-rep2;sample;sample;NA;19;L4_0.45_May22;2
20-rep2;sample;sample;NA;20;L5_0.45_May22;2
21-rep2;sample;sample;NA;21;L6_0.45B_May22;2
22-rep2;sample;sample;NA;22;L6_0.45O_May22;2
23-rep2;sample;sample;NA;23;L6_0.45R_May22;2
25-rep2;sample;sample;NA;25;L7_0.45_May22;2
26-rep2;sample;sample;NA;26;L8_0.45_May22;2
27-rep2;sample;sample;NA;27;L9_0.45_May22;2
28-rep2;sample;sample;NA;28;L10_0.45_May22;2
29-rep2;sample;sample;NA;29;L11_0.45_May22;2
30-rep2;sample;sample;NA;30;L12_0.45_May22;2
31-rep2;sample;sample;NA;31;L1_0.45B_June22;2
32-rep2;sample;sample;NA;32;L1_0.45O_June22;2
33-rep2;sample;sample;NA;33;L1_0.45R_June22;2
35-rep2;sample;sample;NA;35;L2_0.45_June22;2
36-rep2;sample;sample;NA;36;L3_0.45_June22;2
37-rep2;sample;sample;NA;37;L4_0.45_June22;2
38-rep2;sample;sample;NA;38;L5_0.45_June22;2
39-rep2;sample;sample;NA;39;L6_0.45_June22;2
40-rep2;sample;sample;NA;40;L7_0.45_June22;2
41-rep2;sample;sample;NA;41;L8_0.45_June22;2
42-rep2;sample;sample;NA;42;L9_0.45_June22;2
43-rep2;sample;sample;NA;43;L10_0.45_June22;2
44-rep2;sample;sample;NA;44;L11_0.45_June22;2
45-rep2;sample;sample;NA;45;L12_0.45_June22;2
46-rep2;sample;sample;NA;46;L1_0.45_July22;2
47-rep2;sample;sample;NA;47;L2_0.45_July22;2
48-rep2;sample;sample;NA;48;L3_0.45_July22;2
49-rep2;sample;sample;NA;49;L4_0.45_July22;2
50-rep2;sample;sample;NA;50;L5_0.45_July22;2
51-rep2;sample;sample;NA;51;L6_0.45_July22;2
52-rep2;sample;sample;NA;52;L7_0.45_July22;2
53-rep2;sample;sample;NA;53;L8_0.45_July22;2
54-rep2;sample;sample;NA;54;L9_0.45B_July22;2
55-rep2;sample;sample;NA;55;L9_0.45O_July22;2
56-rep2;sample;sample;NA;56;L9_0.45R_July22;2
58-rep2;sample;sample;NA;58;L10_0.45_July22;2
1-rep3;sample;sample;NA;1;L1_0.45_April22;3
